# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,2.683206609852534572e-15
7.117540505050504862e+01,1.166283795930565763e-15
7.301895757575756818e+01,6.688397689026709922e-16
7.486251010101010195e+01,3.413677271190961732e-16
7.670606262626262151e+01,1.629217182444983549e-16
7.854961515151515528e+01,7.445706966288954005e-17
8.039316767676767483e+01,2.000198963716020709e-17
8.223672020202019439e+01,8.687641162743072399e-18
8.408027272727272816e+01,3.717359582479085865e-18
8.592382525252524772e+01,1.573968129466316881e-18
8.776737777777778149e+01,6.617954037370342768e-19
8.961093030303030105e+01,4.543510333998228062e-19
9.145448282828283482e+01,1.893993226368572423e-19
9.329803535353535437e+01,7.898008063322080202e-20
9.514158787878787393e+01,3.301981565936952040e-20
9.698514040404040770e+01,1.387002026659449415e-20
9.882869292929292726e+01,9.423829814157090782e-21
1.006722454545454468e+02,3.994502608178294874e-21
1.025157979797979806e+02,1.710319734296610186e-21
1.043593505050505144e+02,1.169467382787789907e-21
1.062029030303030339e+02,5.095858671950722902e-22
1.080464555555555535e+02,3.509688739759289921e-22
1.098900080808080872e+02,1.564294696865229289e-22
1.117335606060606068e+02,1.088421243304562578e-22
1.135771131313131264e+02,4.987299099763049227e-23
1.154206656565656601e+02,3.515736662646826900e-23
1.172642181818181939e+02,1.664591284195564399e-23
1.191077707070707135e+02,1.192200710317939924e-23
1.209513232323232330e+02,5.862319299807544749e-24
1.227948757575757668e+02,4.277540432839129214e-24
1.246384282828282863e+02,3.141005326927081730e-24
1.264819808080808059e+02,1.636390312696352468e-24
1.283255333333333397e+02,1.228544805401129601e-24
1.301690858585858734e+02,9.293337260430586823e-25
1.320126383838384072e+02,7.085280223389386141e-25
1.338561909090909126e+02,4.014440992770241194e-25
1.356997434343434463e+02,3.141686227343867124e-25
1.375432959595959801e+02,2.480455537617848693e-25
1.393868484848484854e+02,1.976165109544850880e-25
1.412304010101010192e+02,1.231167374236016008e-25
1.430739535353535530e+02,1.009680778528740794e-25
1.449175060606060583e+02,8.359901740607614554e-26
1.467610585858585921e+02,6.988143353209015532e-26
1.486046111111111259e+02,5.896230954017994041e-26
1.504481636363636312e+02,5.018590644793722757e-26
1.522917161616161650e+02,4.303724000076750532e-26
1.541352686868686988e+02,3.129414758525144103e-26
1.559788212121212041e+02,2.736250162163769140e-26
1.578223737373737663e+02,2.390634511145584096e-26
1.596659262626262716e+02,2.079335689785949132e-26
1.615094787878788054e+02,1.795575419173637559e-26
1.633530313131313392e+02,1.538243740805983136e-26
1.651965838383838445e+02,1.309520066739387672e-26
1.670401363636363783e+02,1.111888957508579252e-26
1.688836888888889121e+02,9.460439456620018905e-27
1.707272414141414174e+02,8.103504572749818876e-27
1.725707939393939512e+02,7.014517931384750063e-27
1.744143464646464849e+02,6.152214256047884949e-27
1.762578989898989903e+02,5.475329150542169772e-27
1.781014515151515241e+02,4.946955576543097674e-27
1.799450040404040578e+02,4.536166084493685595e-27
1.817885565656565632e+02,4.327114376129236153e-27
1.836321090909091254e+02,4.067406334700213728e-27
1.854756616161616307e+02,3.868979314920204042e-27
1.873192141414141361e+02,3.718659444959659919e-27
1.891627666666666983e+02,3.606224422870982747e-27
1.910063191919192036e+02,3.523685688145598570e-27
1.928498717171717374e+02,3.464753625812269843e-27
1.946934242424242711e+02,3.424445624195216273e-27
1.965369767676767765e+02,3.398796633205994978e-27
1.983805292929292818e+02,3.442012204195853916e-27
2.002240818181818440e+02,9.077622113293247970e-27
2.020676343434343494e+02,1.500357122928055407e-25
2.039111868686869116e+02,3.444284093060496392e-25
2.057547393939394169e+02,4.675703857035116240e-25
2.075982919191919223e+02,4.388171514282007727e-25
2.094418444444444845e+02,2.962252639753960647e-25
2.112853969696969898e+02,1.723327377551321006e-25
2.131289494949494951e+02,1.190661189018922381e-25
2.149725020202020573e+02,8.313602902948460239e-26
2.168160545454545627e+02,5.948784446611442195e-26
2.186596070707070680e+02,4.386536933457020614e-26
2.205031595959596302e+02,3.343120283158625335e-26
2.223467121212121356e+02,2.635970764759584484e-26
2.241902646464646409e+02,2.369429056609195509e-26
2.260338171717172031e+02,1.953451197789614061e-26
2.278773696969697085e+02,1.655380402613650563e-26
2.297209222222222706e+02,1.539527829029589745e-26
2.315644747474747760e+02,1.349735287528464448e-26
2.334080272727272813e+02,1.274737929044228209e-26
2.352515797979798435e+02,1.209391192841815754e-26
2.370951323232323489e+02,1.096779376093466214e-26
2.389386848484848542e+02,1.052112674794506419e-26
2.407822373737374164e+02,1.011003334428990225e-26
2.426257898989899218e+02,9.749540351667500195e-27
2.444693424242424271e+02,9.086469513361307766e-27
2.463128949494949893e+02,8.822040318145480712e-27
2.481564474747474947e+02,8.581202461317622171e-27
2.500000000000000000e+02,8.361550499557027395e-27
