# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,6.972512102311763581e-31
7.117540505050504862e+01,8.375218170830716590e-31
7.301895757575756818e+01,8.361025759725941283e-31
7.486251010101010195e+01,8.563383388060122280e-31
7.670606262626262151e+01,8.863279305038217848e-31
7.854961515151515528e+01,1.194951198095517673e-30
8.039316767676767483e+01,1.032818096098228519e-30
8.223672020202019439e+01,1.068627525800816526e-30
8.408027272727272816e+01,1.136567634254617066e-30
8.592382525252524772e+01,1.138379324708313746e-30
8.776737777777778149e+01,1.134589528588582269e-30
8.961093030303030105e+01,1.140740974757103259e-30
9.145448282828283482e+01,1.143107308548540711e-30
9.329803535353535437e+01,1.155684511585189587e-30
9.514158787878787393e+01,1.185357093793759624e-30
9.698514040404040770e+01,1.191975089373962118e-30
9.882869292929292726e+01,1.229849321016413996e-30
1.006722454545454468e+02,1.256505576600530402e-30
1.025157979797979806e+02,1.294923766958255499e-30
1.043593505050505144e+02,1.343289870815893036e-30
1.062029030303030339e+02,1.394246933229163772e-30
1.080464555555555535e+02,1.434348706786400680e-30
1.098900080808080872e+02,1.486542715051752721e-30
1.117335606060606068e+02,1.544508866294877641e-30
1.135771131313131264e+02,1.604318016718069665e-30
1.154206656565656601e+02,1.665944961920953446e-30
1.172642181818181939e+02,1.714921918411077330e-30
1.191077707070707135e+02,1.779499280123568699e-30
1.209513232323232330e+02,1.844602393575239156e-30
1.227948757575757668e+02,1.912501842636452781e-30
1.246384282828282863e+02,1.981842738888355852e-30
1.264819808080808059e+02,2.052550852159648785e-30
1.283255333333333397e+02,2.124545076319072030e-30
1.301690858585858734e+02,2.197738475460044610e-30
1.320126383838384072e+02,2.272073129346360872e-30
1.338561909090909126e+02,2.347678349354910200e-30
1.356997434343434463e+02,2.424435478715699207e-30
1.375432959595959801e+02,2.502190499919704822e-30
1.393868484848484854e+02,2.580890547768743784e-30
1.412304010101010192e+02,2.660486134538519558e-30
1.430739535353535530e+02,2.740928401119293253e-30
1.449175060606060583e+02,2.822167546826228067e-30
1.467610585858585921e+02,2.904153186152437906e-30
1.486046111111111259e+02,2.986908660602324742e-30
1.504481636363636312e+02,3.070223033497337204e-30
1.522917161616161650e+02,3.185524090403586928e-30
1.541352686868686988e+02,3.270974149279470321e-30
1.559788212121212041e+02,3.356909200363281288e-30
1.578223737373737663e+02,3.443273087878969462e-30
1.596659262626262716e+02,3.530009077164507485e-30
1.615094787878788054e+02,3.617090773921729367e-30
1.633530313131313392e+02,3.704397065081131894e-30
1.651965838383838445e+02,3.831322020042561304e-30
1.670401363636363783e+02,3.919886621818323674e-30
1.688836888888889121e+02,4.008299009516558888e-30
1.707272414141414174e+02,4.096505254753787080e-30
1.725707939393939512e+02,4.184402592305736686e-30
1.744143464646464849e+02,4.318181988050770488e-30
1.762578989898989903e+02,4.406724266183529033e-30
1.781014515151515241e+02,4.495230843293941279e-30
1.799450040404040578e+02,4.583682900752106989e-30
1.817885565656565632e+02,4.723513977628974603e-30
1.836321090909091254e+02,4.812767860899966320e-30
1.854756616161616307e+02,4.901879400821053702e-30
1.873192141414141361e+02,5.046572090136675147e-30
1.891627666666666983e+02,5.136295259978264942e-30
1.910063191919192036e+02,5.225783702561250566e-30
1.928498717171717374e+02,5.315020291986544622e-30
1.946934242424242711e+02,5.464988199839042781e-30
1.965369767676767765e+02,5.554572052853844078e-30
1.983805292929292818e+02,5.643811366530676162e-30
2.002240818181818440e+02,5.797974934591251947e-30
2.020676343434343494e+02,5.887353951648105594e-30
2.039111868686869116e+02,5.976291798764029637e-30
2.057547393939394169e+02,6.134336943383022981e-30
2.075982919191919223e+02,6.223035010173851411e-30
2.094418444444444845e+02,6.310793365079980151e-30
2.112853969696969898e+02,6.472148365522168180e-30
2.131289494949494951e+02,6.559025438282982476e-30
2.149725020202020573e+02,6.723245461773727243e-30
2.168160545454545627e+02,6.809061613157918264e-30
2.186596070707070680e+02,6.893716764187412351e-30
2.205031595959596302e+02,7.060552542798499174e-30
2.223467121212121356e+02,7.143851689746111224e-30
2.241902646464646409e+02,7.313122038669892791e-30
2.260338171717172031e+02,7.394862759893069468e-30
2.278773696969697085e+02,7.475214191121745866e-30
2.297209222222222706e+02,7.646348466138238286e-30
2.315644747474747760e+02,7.724919724537013713e-30
2.334080272727272813e+02,7.898412566587097766e-30
2.352515797979798435e+02,7.975969736225478761e-30
2.370951323232323489e+02,8.152173806375881916e-30
2.389386848484848542e+02,8.228796008398903859e-30
2.407822373737374164e+02,8.304563506932957320e-30
2.426257898989899218e+02,8.483297715237825835e-30
2.444693424242424271e+02,8.558083876446115931e-30
2.463128949494949893e+02,8.739368429131464662e-30
2.481564474747474947e+02,8.813125061464607560e-30
2.500000000000000000e+02,8.996893808694332726e-30
