# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,9.439330420571652407e-29
6.933185252525251485e+01,9.652110470445172064e-29
7.117540505050504862e+01,9.889796311999270672e-29
7.301895757575756818e+01,1.009757267105892451e-28
7.486251010101010195e+01,1.030600331630501086e-28
7.670606262626262151e+01,1.051642176340126458e-28
7.854961515151515528e+01,1.073491232597755889e-28
8.039316767676767483e+01,1.097773678782151111e-28
8.223672020202019439e+01,1.118903069285259816e-28
8.408027272727272816e+01,1.142264765718924828e-28
8.592382525252524772e+01,1.165371580129029277e-28
8.776737777777778149e+01,1.187254753563850847e-28
8.961093030303030105e+01,1.211928851523289688e-28
9.145448282828283482e+01,1.233998884552263052e-28
9.329803535353535437e+01,1.258629384140325315e-28
9.514158787878787393e+01,1.284490515102051417e-28
9.698514040404040770e+01,1.305648428941259532e-28
9.882869292929292726e+01,1.331371340849565029e-28
1.006722454545454468e+02,1.354285355652078862e-28
1.025157979797979806e+02,1.378720481996342883e-28
1.043593505050505144e+02,1.404691856755979244e-28
1.062029030303030339e+02,1.593710213087445657e-28
1.080464555555555535e+02,1.778827700487232743e-28
1.098900080808080872e+02,1.900740961539620648e-28
1.117335606060606068e+02,1.999688060757828638e-28
1.135771131313131264e+02,2.084794524651189631e-28
1.154206656565656601e+02,2.160760110490322579e-28
1.172642181818181939e+02,2.225199104989006200e-28
1.191077707070707135e+02,2.288607292907895140e-28
1.209513232323232330e+02,2.348950519034100418e-28
1.227948757575757668e+02,2.406564965168146079e-28
1.246384282828282863e+02,2.461851826179754213e-28
1.264819808080808059e+02,2.515191396735921364e-28
1.283255333333333397e+02,2.566862447727845358e-28
1.301690858585858734e+02,2.617139581855478280e-28
1.320126383838384072e+02,2.666191837986534216e-28
1.338561909090909126e+02,2.714213883962175985e-28
1.356997434343434463e+02,2.761337606545993610e-28
1.375432959595959801e+02,2.807697628022217209e-28
1.393868484848484854e+02,2.853393935357117170e-28
1.412304010101010192e+02,2.899468337711673495e-28
1.430739535353535530e+02,2.946039480810031955e-28
1.449175060606060583e+02,2.992726627545866640e-28
1.467610585858585921e+02,3.039467568164552336e-28
1.486046111111111259e+02,3.086296329558408766e-28
1.504481636363636312e+02,3.133478174033507199e-28
1.522917161616161650e+02,3.185758356119737183e-28
1.541352686868686988e+02,3.231818098841380813e-28
1.559788212121212041e+02,3.277726881640458186e-28
1.578223737373737663e+02,3.323599532532516009e-28
1.596659262626262716e+02,3.369480941037131679e-28
1.615094787878788054e+02,3.415524858785804305e-28
1.633530313131313392e+02,3.462752035998870016e-28
1.651965838383838445e+02,3.513582793855546910e-28
1.670401363636363783e+02,3.558806261159178554e-28
1.688836888888889121e+02,3.604089887343262694e-28
1.707272414141414174e+02,3.649659928392025924e-28
1.725707939393939512e+02,3.697900372328869944e-28
1.744143464646464849e+02,3.747092955289313905e-28
1.762578989898989903e+02,3.791971123133852254e-28
1.781014515151515241e+02,3.837178352606858675e-28
1.799450040404040578e+02,3.884091365557391507e-28
1.817885565656565632e+02,3.934493884186243887e-28
1.836321090909091254e+02,3.979162752232180549e-28
1.854756616161616307e+02,4.024385043913067454e-28
1.873192141414141361e+02,4.076814291345828057e-28
1.891627666666666983e+02,4.121271918962965488e-28
1.910063191919192036e+02,4.166088404434168141e-28
1.928498717171717374e+02,4.212686252947483732e-28
1.946934242424242711e+02,4.263339898787943328e-28
1.965369767676767765e+02,4.307977257265846977e-28
1.983805292929292818e+02,4.353928227282783419e-28
2.002240818181818440e+02,3.910240369021939532e-28
2.020676343434343494e+02,2.874401189708193186e-28
2.039111868686869116e+02,2.825782149821587975e-28
2.057547393939394169e+02,2.835514156878694748e-28
2.075982919191919223e+02,2.858852224623648509e-28
2.094418444444444845e+02,2.887378844469360049e-28
2.112853969696969898e+02,2.918375869596223357e-28
2.131289494949494951e+02,2.950729736460666973e-28
2.149725020202020573e+02,2.983997098613398187e-28
2.168160545454545627e+02,3.017848137942329668e-28
2.186596070707070680e+02,3.052111384417121713e-28
2.205031595959596302e+02,3.086762505372775498e-28
2.223467121212121356e+02,3.121638896628179670e-28
2.241902646464646409e+02,3.156792454565936558e-28
2.260338171717172031e+02,3.192149859507172932e-28
2.278773696969697085e+02,3.227664570952820250e-28
2.297209222222222706e+02,3.263382454958898354e-28
2.315644747474747760e+02,3.299256725126046527e-28
2.334080272727272813e+02,3.335306446553388813e-28
2.352515797979798435e+02,3.371493333500211656e-28
2.370951323232323489e+02,3.407840741416595008e-28
2.389386848484848542e+02,3.444312273952425265e-28
2.407822373737374164e+02,3.480927503478148090e-28
2.426257898989899218e+02,3.517684770936503709e-28
2.444693424242424271e+02,3.554566497725626126e-28
2.463128949494949893e+02,3.591587288510675654e-28
2.481564474747474947e+02,3.628730521525949395e-28
2.500000000000000000e+02,3.666015553662619688e-28
