# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.707239256602703672e-11
6.933185252525251485e+01,6.259012635458356197e-12
7.117540505050504862e+01,1.903725648515701859e-12
7.301895757575756818e+01,6.398963197870454066e-13
7.486251010101010195e+01,2.406679358675829357e-13
7.670606262626262151e+01,9.204991124844151208e-14
7.854961515151515528e+01,3.545185567371772332e-14
8.039316767676767483e+01,1.041665574957333108e-14
8.223672020202019439e+01,3.891365531414366051e-15
8.408027272727272816e+01,1.509661706193847352e-15
8.592382525252524772e+01,6.031945167091681465e-16
8.776737777777778149e+01,2.677541197116082401e-16
8.961093030303030105e+01,1.266686104831604910e-16
9.145448282828283482e+01,5.073433311922085733e-17
9.329803535353535437e+01,2.060672402832768131e-17
9.514158787878787393e+01,8.568523034027872438e-18
9.698514040404040770e+01,3.879689989385999510e-18
9.882869292929292726e+01,2.093023913171160019e-18
1.006722454545454468e+02,8.938912862109707679e-19
1.025157979797979806e+02,4.151531965950963065e-19
1.043593505050505144e+02,2.354746794661312459e-19
1.062029030303030339e+02,1.224968176586173326e-19
1.080464555555555535e+02,8.574568782051650409e-20
1.098900080808080872e+02,4.234216824516739136e-20
1.117335606060606068e+02,2.820505905109278522e-20
1.135771131313131264e+02,1.395983557017867915e-20
1.154206656565656601e+02,9.322544371592494895e-21
1.172642181818181939e+02,4.786244329789486456e-21
1.191077707070707135e+02,3.209794345184056607e-21
1.209513232323232330e+02,1.816385697360227908e-21
1.227948757575757668e+02,1.174626959140917285e-21
1.246384282828282863e+02,8.234424477171689627e-22
1.264819808080808059e+02,4.762969496347694581e-22
1.283255333333333397e+02,3.294770700807485667e-22
1.301690858585858734e+02,2.390911627383602945e-22
1.320126383838384072e+02,1.766997923779555145e-22
1.338561909090909126e+02,1.072259769438203376e-22
1.356997434343434463e+02,8.014317142724527444e-23
1.375432959595959801e+02,6.127443551107486866e-23
1.393868484848484854e+02,4.755519772133469085e-23
1.412304010101010192e+02,3.233639821371897101e-23
1.430739535353535530e+02,2.516200880902166488e-23
1.449175060606060583e+02,2.019604839612529972e-23
1.467610585858585921e+02,1.647920416722883617e-23
1.486046111111111259e+02,1.362645962116322306e-23
1.504481636363636312e+02,1.140340193381622527e-23
1.522917161616161650e+02,9.650864165236358397e-24
1.541352686868686988e+02,8.253075048885531276e-24
1.559788212121212041e+02,6.543183155647982383e-24
1.578223737373737663e+02,5.689000368283198055e-24
1.596659262626262716e+02,5.020887272529593967e-24
1.615094787878788054e+02,4.480807920177644877e-24
1.633530313131313392e+02,4.037348806647006632e-24
1.651965838383838445e+02,3.669316438802081818e-24
1.670401363636363783e+02,3.361267630619694977e-24
1.688836888888889121e+02,3.101564500435072368e-24
1.707272414141414174e+02,2.881228087009307757e-24
1.725707939393939512e+02,2.693286874684799708e-24
1.744143464646464849e+02,2.532345736673021306e-24
1.762578989898989903e+02,2.394410980975336760e-24
1.781014515151515241e+02,2.277442639716097130e-24
1.799450040404040578e+02,2.190092451165641649e-24
1.817885565656565632e+02,2.138143694605640338e-24
1.836321090909091254e+02,2.045278484835950549e-24
1.854756616161616307e+02,1.963070487876884300e-24
1.873192141414141361e+02,1.890008776858161072e-24
1.891627666666666983e+02,1.824865133987963198e-24
1.910063191919192036e+02,1.766714971444453586e-24
1.928498717171717374e+02,1.715008679175646490e-24
1.946934242424242711e+02,1.670011896592147564e-24
1.965369767676767765e+02,1.654180393256611335e-24
1.983805292929292818e+02,1.620732555774782237e-24
2.002240818181818440e+02,1.978571215707112677e-24
2.020676343434343494e+02,1.192861670628396318e-23
2.039111868686869116e+02,2.675022116274188720e-23
2.057547393939394169e+02,4.345901790469277749e-23
2.075982919191919223e+02,6.086871082821054258e-23
2.094418444444444845e+02,7.382154704732057109e-23
2.112853969696969898e+02,7.965593348344042903e-23
2.131289494949494951e+02,7.629980375419411527e-23
2.149725020202020573e+02,6.641367594322030582e-23
2.168160545454545627e+02,5.443230093706979930e-23
2.186596070707070680e+02,4.293967403151990713e-23
2.205031595959596302e+02,3.368978900809618056e-23
2.223467121212121356e+02,2.674778595928696786e-23
2.241902646464646409e+02,2.146479301929237349e-23
2.260338171717172031e+02,1.753016742970565963e-23
2.278773696969697085e+02,1.460867723948792936e-23
2.297209222222222706e+02,1.235643837155114918e-23
2.315644747474747760e+02,1.064062507361161229e-23
2.334080272727272813e+02,9.275587965080952128e-24
2.352515797979798435e+02,8.195086943998460743e-24
2.370951323232323489e+02,7.326553097385359217e-24
2.389386848484848542e+02,6.614461756384476454e-24
2.407822373737374164e+02,6.010367669761614927e-24
2.426257898989899218e+02,5.513004840384791768e-24
2.444693424242424271e+02,5.092151188714721287e-24
2.463128949494949893e+02,4.731789366486834558e-24
2.481564474747474947e+02,4.420899394354336612e-24
2.500000000000000000e+02,4.150814282454422639e-24
