# Columns: mx (MeV), f_eff
6.748829999999999529e+01,9.524210689338877822e-01
6.933185252525251485e+01,9.489444372652013904e-01
7.117540505050504862e+01,9.454645922257908230e-01
7.301895757575756818e+01,9.419829196363812551e-01
7.486251010101010195e+01,9.384987309647991882e-01
7.670606262626262151e+01,9.350123190577713794e-01
7.854961515151515528e+01,9.316668936098888576e-01
8.039316767676767483e+01,9.283526770816539209e-01
8.223672020202019439e+01,9.250317889272615668e-01
8.408027272727272816e+01,9.217127471020807317e-01
8.592382525252524772e+01,9.183908817785615408e-01
8.776737777777778149e+01,9.150672875581338239e-01
8.961093030303030105e+01,9.117420561224146569e-01
9.145448282828283482e+01,9.084144851472789606e-01
9.329803535353535437e+01,9.050858940563235588e-01
9.514158787878787393e+01,9.017569090803388976e-01
9.698514040404040770e+01,8.984256091455189441e-01
9.882869292929292726e+01,8.950926345368960257e-01
1.006722454545454468e+02,8.917587531504093112e-01
1.025157979797979806e+02,8.884238569564257837e-01
1.043593505050505144e+02,8.850871607468890900e-01
1.062029030303030339e+02,8.114727160932285743e-01
1.080464555555555535e+02,7.526981068522664575e-01
1.098900080808080872e+02,7.231905153025768307e-01
1.117335606060606068e+02,7.030250778393851707e-01
1.135771131313131264e+02,6.877094292005205833e-01
1.154206656565656601e+02,6.753837597054632713e-01
1.172642181818181939e+02,6.650767697964027336e-01
1.191077707070707135e+02,6.562381570291020427e-01
1.209513232323232330e+02,6.484965416667053395e-01
1.227948757575757668e+02,6.416054217630843270e-01
1.246384282828282863e+02,6.353996210166468206e-01
1.264819808080808059e+02,6.297460648045548615e-01
1.283255333333333397e+02,6.245236905525426430e-01
1.301690858585858734e+02,6.196816989125903952e-01
1.320126383838384072e+02,6.156577752588963115e-01
1.338561909090909126e+02,6.118588154849399219e-01
1.356997434343434463e+02,6.084633846229596799e-01
1.375432959595959801e+02,6.051821455091608293e-01
1.393868484848484854e+02,6.020709145558627018e-01
1.412304010101010192e+02,5.989473157255363889e-01
1.430739535353535530e+02,5.958404906998205908e-01
1.449175060606060583e+02,5.927223341909982901e-01
1.467610585858585921e+02,5.897393029285751265e-01
1.486046111111111259e+02,5.867124006924536728e-01
1.504481636363636312e+02,5.838127145375600069e-01
1.522917161616161650e+02,5.809846978405424078e-01
1.541352686868686988e+02,5.782030159973639005e-01
1.559788212121212041e+02,5.755056804629010703e-01
1.578223737373737663e+02,5.728716569300190686e-01
1.596659262626262716e+02,5.702159265455479797e-01
1.615094787878788054e+02,5.676800718923060707e-01
1.633530313131313392e+02,5.651821553083963279e-01
1.651965838383838445e+02,5.627298057890682825e-01
1.670401363636363783e+02,5.603195188389168413e-01
1.688836888888889121e+02,5.579454757590233127e-01
1.707272414141414174e+02,5.556173829971464695e-01
1.725707939393939512e+02,5.533492508625792450e-01
1.744143464646464849e+02,5.511040851089021864e-01
1.762578989898989903e+02,5.488760456710506386e-01
1.781014515151515241e+02,5.467033679938518853e-01
1.799450040404040578e+02,5.445493129651809427e-01
1.817885565656565632e+02,5.424280901892277740e-01
1.836321090909091254e+02,5.403111252792762720e-01
1.854756616161616307e+02,5.382778820843117096e-01
1.873192141414141361e+02,5.362353418639637104e-01
1.891627666666666983e+02,5.342299264911032353e-01
1.910063191919192036e+02,5.322360826220718932e-01
1.928498717171717374e+02,5.302429094432342671e-01
1.946934242424242711e+02,5.283465702045300194e-01
1.965369767676767765e+02,5.263999677071794503e-01
1.983805292929292818e+02,5.245099896889852120e-01
2.002240818181818440e+02,5.226200342547890898e-01
2.020676343434343494e+02,5.207423503859539560e-01
2.039111868686869116e+02,5.189181786173845401e-01
2.057547393939394169e+02,5.170741090812333018e-01
2.075982919191919223e+02,5.152354625541717414e-01
2.094418444444444845e+02,5.134557333338444218e-01
2.112853969696969898e+02,5.116691057334064041e-01
2.131289494949494951e+02,5.098882136045841396e-01
2.149725020202020573e+02,5.081438816881179710e-01
2.168160545454545627e+02,5.063917193778616488e-01
2.186596070707070680e+02,5.046608264366083674e-01
2.205031595959596302e+02,5.029349277281356390e-01
2.223467121212121356e+02,5.012418085146812530e-01
2.241902646464646409e+02,4.996308174549402570e-01
2.260338171717172031e+02,4.982933778072623499e-01
2.278773696969697085e+02,4.969621318037634738e-01
2.297209222222222706e+02,4.956451097279535034e-01
2.315644747474747760e+02,4.943378150654513803e-01
2.334080272727272813e+02,4.930503136876253079e-01
2.352515797979798435e+02,4.917494049044748849e-01
2.370951323232323489e+02,4.904593034536181562e-01
2.389386848484848542e+02,4.891763429039725497e-01
2.407822373737374164e+02,4.879163428522477197e-01
2.426257898989899218e+02,4.866482507481657005e-01
2.444693424242424271e+02,4.853897537337117374e-01
2.463128949494949893e+02,4.841379017940197205e-01
2.481564474747474947e+02,4.828871951224440462e-01
2.500000000000000000e+02,4.816517142804121465e-01
