# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.727710179036455506e-25
6.933185252525251485e+01,1.788885721830815695e-25
7.117540505050504862e+01,1.851255444521651916e-25
7.301895757575756818e+01,1.914758129007993459e-25
7.486251010101010195e+01,1.979368511327456600e-25
7.670606262626262151e+01,2.045063733732844582e-25
7.854961515151515528e+01,2.111829609169804724e-25
8.039316767676767483e+01,2.179654827699877694e-25
8.223672020202019439e+01,2.248528953692322817e-25
8.408027272727272816e+01,2.318448367278856449e-25
8.592382525252524772e+01,2.389412679795151420e-25
8.776737777777778149e+01,2.430529509997353695e-25
8.961093030303030105e+01,2.415468172655577335e-25
9.145448282828283482e+01,2.408421358126296438e-25
9.329803535353535437e+01,2.408701547529994558e-25
9.514158787878787393e+01,2.415712970946642559e-25
9.698514040404040770e+01,2.428939391381847848e-25
9.882869292929292726e+01,2.447977263943638957e-25
1.006722454545454468e+02,2.472907761231776832e-25
1.025157979797979806e+02,2.506224908719650976e-25
1.043593505050505144e+02,2.537353823112791680e-25
1.062029030303030339e+02,2.955766774522661426e-25
1.080464555555555535e+02,3.404473815498309543e-25
1.098900080808080872e+02,3.689570481972772700e-25
1.117335606060606068e+02,3.919645784960430284e-25
1.135771131313131264e+02,4.120986626992856450e-25
1.154206656565656601e+02,4.298979175289042450e-25
1.172642181818181939e+02,4.464605514852638572e-25
1.191077707070707135e+02,4.617050701948408071e-25
1.209513232323232330e+02,4.762436917200404092e-25
1.227948757575757668e+02,4.899554351280174423e-25
1.246384282828282863e+02,5.031872808791284382e-25
1.264819808080808059e+02,5.158698072315483537e-25
1.283255333333333397e+02,5.281768324698012950e-25
1.301690858585858734e+02,5.401123630590572544e-25
1.320126383838384072e+02,5.516760975518061922e-25
1.338561909090909126e+02,5.629460398519129083e-25
1.356997434343434463e+02,5.739129403668583499e-25
1.375432959595959801e+02,5.787912458521429211e-25
1.393868484848484854e+02,5.835155759553379070e-25
1.412304010101010192e+02,5.888933399119926696e-25
1.430739535353535530e+02,5.929548696590978459e-25
1.449175060606060583e+02,5.984559079138161929e-25
1.467610585858585921e+02,6.047938136325611369e-25
1.486046111111111259e+02,6.114191212755810131e-25
1.504481636363636312e+02,6.182407922859557971e-25
1.522917161616161650e+02,6.239805308344558140e-25
1.541352686868686988e+02,6.308935166766052032e-25
1.559788212121212041e+02,6.380913942008069833e-25
1.578223737373737663e+02,6.454222756372344642e-25
1.596659262626262716e+02,6.528387977440622157e-25
1.615094787878788054e+02,6.603050385591782653e-25
1.633530313131313392e+02,6.677962368160364715e-25
1.651965838383838445e+02,6.753211611218926968e-25
1.670401363636363783e+02,6.828661823913799238e-25
1.688836888888889121e+02,6.900357798586044616e-25
1.707272414141414174e+02,6.975907784647477012e-25
1.725707939393939512e+02,7.051870965240444905e-25
1.744143464646464849e+02,7.127843992173275719e-25
1.762578989898989903e+02,7.203678795981320755e-25
1.781014515151515241e+02,7.279592337337438552e-25
1.799450040404040578e+02,7.355478270600873257e-25
1.817885565656565632e+02,7.431319501829544112e-25
1.836321090909091254e+02,7.507124442769093677e-25
1.854756616161616307e+02,7.582895331429340141e-25
1.873192141414141361e+02,7.658736165859855256e-25
1.891627666666666983e+02,7.735067780113714815e-25
1.910063191919192036e+02,7.810539098389985330e-25
1.928498717171717374e+02,7.886095413655702319e-25
1.946934242424242711e+02,7.961796199721866660e-25
1.965369767676767765e+02,8.037617553423254205e-25
1.983805292929292818e+02,8.113387052269823929e-25
2.002240818181818440e+02,8.189449842296447109e-25
2.020676343434343494e+02,8.265509190131306030e-25
2.039111868686869116e+02,8.341806707613128557e-25
2.057547393939394169e+02,8.418296669367233095e-25
2.075982919191919223e+02,8.495112365899960111e-25
2.094418444444444845e+02,8.571983920633315816e-25
2.112853969696969898e+02,8.649230593305019712e-25
2.131289494949494951e+02,8.726689310793526486e-25
2.149725020202020573e+02,8.804519329435914326e-25
2.168160545454545627e+02,8.882695503629753331e-25
2.186596070707070680e+02,8.961164413163304764e-25
2.205031595959596302e+02,9.040020354450677133e-25
2.223467121212121356e+02,9.119257722880758034e-25
2.241902646464646409e+02,9.198864680394676096e-25
2.260338171717172031e+02,9.278877296719922815e-25
2.278773696969697085e+02,9.359275099988045135e-25
2.297209222222222706e+02,9.440085138372671353e-25
2.315644747474747760e+02,9.521326135618351550e-25
2.334080272727272813e+02,9.602935002504270362e-25
2.352515797979798435e+02,9.684993528122601324e-25
2.370951323232323489e+02,9.767463545457113859e-25
2.389386848484848542e+02,9.850360690518468818e-25
2.407822373737374164e+02,9.933676266396848985e-25
2.426257898989899218e+02,1.001739962252155981e-24
2.444693424242424271e+02,1.010154900334131253e-24
2.463128949494949893e+02,1.018609852061255161e-24
2.481564474747474947e+02,1.027108139558957437e-24
2.500000000000000000e+02,1.035647545281509580e-24
