# Columns: mx (MeV), <sigma v> limit (cm^3/s)
7.000000000000000000e+01,1.350058571979143945e-27
7.367346938775510523e+01,5.200286298269409416e-28
7.734693877551021046e+01,4.234790501634363463e-28
8.102040816326530148e+01,4.729294886375493697e-28
8.469387755102040671e+01,inf
8.836734693877551194e+01,inf
9.204081632653061718e+01,inf
9.571428571428572241e+01,inf
9.938775510204081343e+01,inf
1.030612244897959187e+02,inf
1.067346938775510239e+02,inf
1.104081632653061149e+02,inf
1.140816326530612344e+02,inf
1.177551020408163254e+02,inf
1.214285714285714306e+02,inf
1.251020408163265358e+02,7.867720054541547390e-17
1.287755102040816269e+02,8.779171193037452769e-17
1.324489795918367463e+02,2.142806170226523392e-19
1.361224489795918373e+02,2.667316476598946789e-21
1.397959183673469283e+02,1.603193145667582697e-25
1.434693877551020478e+02,1.222034600722111686e-25
1.471428571428571388e+02,1.261502108356229025e-25
1.508163265306122298e+02,1.299041013081364417e-25
1.544897959183673493e+02,1.332909665339540588e-25
1.581632653061224687e+02,1.370146506794464557e-25
1.618367346938775597e+02,1.407699098425917548e-25
1.655102040816326507e+02,1.445210382450741564e-25
1.691836734693877702e+02,1.484202062155758404e-25
1.728571428571428612e+02,1.522348618717872175e-25
1.765306122448979522e+02,1.562274352764637315e-25
1.802040816326530717e+02,1.601370491712760785e-25
1.838775510204081627e+02,1.642310177010265365e-25
1.875510204081632537e+02,1.682512929435333006e-25
1.912244897959183731e+02,1.724490460264227524e-25
1.948979591836734926e+02,1.765837995464520461e-25
1.985714285714285836e+02,1.808857544425158039e-25
2.022448979591836746e+02,1.852389129718322595e-25
2.059183673469387656e+02,1.895385344711571551e-25
2.095918367346938851e+02,1.939956746095989834e-25
2.132653061224489761e+02,1.984044840528004403e-25
2.169387755102040956e+02,2.029649908168571872e-25
2.206122448979591866e+02,2.074812969696272754e-25
2.242857142857142776e+02,2.121445644024266881e-25
2.279591836734693970e+02,2.168590803119860057e-25
2.316326530612244881e+02,2.215322376767133084e-25
2.353061224489796075e+02,2.263491441754360317e-25
2.389795918367346985e+02,2.311268738806687827e-25
2.426530612244897895e+02,2.360454997425426154e-25
2.463265306122449090e+02,2.410152348806236606e-25
2.500000000000000000e+02,2.459469802186587695e-25
