# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
7.121302857142856624e+01,5.341974014470201477e-30
7.493775714285713718e+01,1.044612218504940614e-30
7.866248571428570813e+01,1.151408841411459470e-30
8.238721428571427907e+01,1.268679853941008805e-30
8.611194285714285002e+01,1.403591863903829809e-30
8.983667142857143517e+01,1.458166278822291385e-30
9.356139999999999191e+01,1.590800841080309084e-30
9.728612857142857706e+01,1.573104332611643454e-30
1.010108571428571338e+02,1.793058066188213840e-30
1.047355857142857190e+02,1.801236123432755960e-30
1.084603142857142757e+02,1.865406905949442630e-30
1.121850428571428608e+02,2.048133073688443014e-30
1.159097714285714318e+02,2.281268818625955246e-30
1.196345000000000027e+02,2.311196070191395200e-30
1.233592285714285737e+02,2.551820911137522311e-30
1.270839571428571446e+02,2.608352758412153100e-30
1.308086857142857298e+02,2.832993997753139050e-30
1.345334142857142865e+02,2.884696665130586097e-30
1.382581428571428432e+02,3.129076565627890313e-30
1.419828714285714284e+02,5.969261670338298604e-29
1.457076000000000136e+02,1.730030098012879462e-28
1.494323285714285703e+02,2.637714994898327764e-28
1.531570571428571270e+02,3.285340268759394326e-28
1.568817857142857406e+02,3.672969937832106033e-28
1.606065142857142973e+02,4.014885374043094742e-28
1.643312428571428541e+02,4.300360563229572718e-28
1.680559714285714392e+02,4.485868980831923593e-28
1.717807000000000244e+02,4.683153701301628148e-28
1.755054285714285811e+02,4.873181108351459912e-28
1.792301571428571378e+02,4.993015251206273639e-28
1.829548857142857230e+02,5.143184827526072840e-28
1.866796142857143082e+02,5.278980547588156465e-28
1.904043428571428649e+02,5.372729880462843231e-28
1.941290714285714216e+02,5.508993869434183218e-28
1.978538000000000352e+02,5.632242218044538995e-28
2.015785285714285919e+02,5.751579181993896659e-28
2.053032571428571487e+02,5.823536791963698603e-28
2.090279857142857054e+02,5.944617923195242104e-28
2.127527142857143190e+02,6.052317994780900685e-28
2.164774428571428757e+02,6.157338924571574914e-28
2.202021714285714324e+02,6.233148077807089762e-28
2.239268999999999892e+02,6.328482384671794984e-28
2.276516285714286028e+02,6.446371681732281725e-28
2.313763571428571595e+02,6.542559213661869250e-28
2.351010857142857162e+02,6.612108064273367805e-28
2.388258142857142730e+02,6.703062738025287391e-28
2.425505428571428865e+02,6.817153409411819452e-28
2.462752714285714433e+02,6.909056361054100001e-28
2.500000000000000000e+02,6.974599460481662965e-28
