# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
7.121302857142856624e+01,9.115377182683418323e-28
7.493775714285713718e+01,9.983524554531517626e-28
7.866248571428570813e+01,1.100642116472463981e-27
8.238721428571427907e+01,1.222543177102078215e-27
8.611194285714285002e+01,1.368925810352454765e-27
8.983667142857143517e+01,1.712755889018303293e-27
9.356139999999999191e+01,1.901435623099835314e-27
9.728612857142857706e+01,1.978395889308133126e-27
1.010108571428571338e+02,1.922127456939899641e-27
1.047355857142857190e+02,1.877235045556257991e-27
1.084603142857142757e+02,1.823386798839993310e-27
1.121850428571428608e+02,1.878777699500088476e-27
1.159097714285714318e+02,2.059510195928004622e-27
1.196345000000000027e+02,2.338160753678759367e-27
1.233592285714285737e+02,2.167632879579785773e-27
1.270839571428571446e+02,2.147338893795198650e-27
1.308086857142857298e+02,2.038279037231844255e-27
1.345334142857142865e+02,2.095098624955073225e-27
1.382581428571428432e+02,2.107849554236576514e-27
1.419828714285714284e+02,4.490146823280897045e-26
1.457076000000000136e+02,1.584520941599327083e-25
1.494323285714285703e+02,3.032332065585327795e-25
1.531570571428571270e+02,4.599114570345776989e-25
1.568817857142857406e+02,6.405561365967552358e-25
1.606065142857142973e+02,8.260906475445632323e-25
1.643312428571428541e+02,1.033449130202754933e-24
1.680559714285714392e+02,1.250605666104077009e-24
1.717807000000000244e+02,1.229779816716405208e-24
1.755054285714285811e+02,1.309828520342872499e-24
1.792301571428571378e+02,1.273775871605429610e-24
1.829548857142857230e+02,1.341948856213770661e-24
1.866796142857143082e+02,1.306035786816744448e-24
1.904043428571428649e+02,1.365679667157139553e-24
1.941290714285714216e+02,1.422026050131102781e-24
1.978538000000000352e+02,1.384009477088373428e-24
2.015785285714285919e+02,1.433382159714061516e-24
2.053032571428571487e+02,1.479540879119034951e-24
2.090279857142857054e+02,1.439358475330337254e-24
2.127527142857143190e+02,1.477952944278251180e-24
2.164774428571428757e+02,1.512428792252836250e-24
2.202021714285714324e+02,1.469418402367918543e-24
2.239268999999999892e+02,1.495328333122161398e-24
2.276516285714286028e+02,1.537466609244126944e-24
2.313763571428571595e+02,1.494975273995204120e-24
2.351010857142857162e+02,1.513035842810674314e-24
2.388258142857142730e+02,1.555037390715853881e-24
2.425505428571428865e+02,1.515732312277951690e-24
2.462752714285714433e+02,1.558146601749892544e-24
2.500000000000000000e+02,1.571249249236930612e-24
