# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
7.121302857142856624e+01,inf
7.493775714285713718e+01,inf
7.866248571428570813e+01,inf
8.238721428571427907e+01,inf
8.611194285714285002e+01,inf
8.983667142857143517e+01,inf
9.356139999999999191e+01,inf
9.728612857142857706e+01,inf
1.010108571428571338e+02,inf
1.047355857142857190e+02,inf
1.084603142857142757e+02,inf
1.121850428571428608e+02,inf
1.159097714285714318e+02,inf
1.196345000000000027e+02,inf
1.233592285714285737e+02,inf
1.270839571428571446e+02,inf
1.308086857142857298e+02,inf
1.345334142857142865e+02,inf
1.382581428571428432e+02,inf
1.419828714285714284e+02,inf
1.457076000000000136e+02,inf
1.494323285714285703e+02,3.532265579549230490e-23
1.531570571428571270e+02,5.395512040993464326e-23
1.568817857142857406e+02,7.360682966927510838e-23
1.606065142857142973e+02,9.175370665046693128e-24
1.643312428571428541e+02,1.117973030510654158e-23
1.680559714285714392e+02,5.523971631954532587e-24
1.717807000000000244e+02,6.366112471365807308e-24
1.755054285714285811e+02,7.203972879165712589e-24
1.792301571428571378e+02,1.750655356556335690e-24
1.829548857142857230e+02,1.625957230036698065e-24
1.866796142857143082e+02,1.392086892937623084e-24
1.904043428571428649e+02,1.383698131892246786e-24
1.941290714285714216e+02,1.398614810578790433e-24
1.978538000000000352e+02,1.307999259302588418e-24
2.015785285714285919e+02,1.349600248475458491e-24
2.053032571428571487e+02,1.395794898580698612e-24
2.090279857142857054e+02,1.332916419305795370e-24
2.127527142857143190e+02,1.379540952127430548e-24
2.164774428571428757e+02,1.425295269131441019e-24
2.202021714285714324e+02,1.364282791162396372e-24
2.239268999999999892e+02,1.405389129344382026e-24
2.276516285714286028e+02,1.444879796147477807e-24
2.313763571428571595e+02,1.482752329043520282e-24
2.351010857142857162e+02,1.416428993664695026e-24
2.388258142857142730e+02,1.450016150443179054e-24
2.425505428571428865e+02,1.459730957595702821e-24
2.462752714285714433e+02,1.373760501674765713e-24
2.500000000000000000e+02,1.402431581952210797e-24
